1,Neomycin and Polymyxin B Sulfates and Hydrocortisone,"Neomycin sulfate, Polymyxin B Sulfate and Hydrocortisone",neque,Customizable interactive solution,17
2,Enoxaparin sodium,enoxaparin sodium,et,Enterprise-wide executive matrices,13
3,AMITIZA,LUBIPROSTONE,vulputate,Face to face tangible success,8
4,CORGARD,nadolol,ut,Enterprise-wide bifurcated software,15
5,ERYGEL,erythromycin,eu interdum,Profit-focused asymmetric local area network,17
6,Dantrolene Sodium,Dantrolene Sodium,justo,Seamless actuating capability,1
7,Dr. Dream Hydramemory Deep Cleansing,WITCH HAZEL,duis,Adaptive user-facing Graphic Interface,11
8,Nitroglycerin Transdermal Delivery System,nitroglycerin,nullam varius,Digitized bottom-line projection,3
9,TIMENTIN,ticarcillin disodium and clavulanate potassium,morbi,Multi-channelled fresh-thinking infrastructure,1
10,Se-Natal 19 Chewable,Vitamins and Minerals,nulla suscipit,Synergized even-keeled parallelism,5
11,FAMOTIDINE,FAMOTIDINE,ante,Cross-group heuristic system engine,13
12,Phenazopyridine HCl,Phenazopyridine HCl,viverra,Secured non-volatile protocol,9
13,SECTRAL,acebutolol hydrochloride,tincidunt in,Enterprise-wide local hardware,12
14,LES BEIGES,OCTINOXATE and TITANIUM DIOXIDE,in,Switchable multi-state help-desk,5
15,Quack Grass,Quack Grass,lectus vestibulum,Front-line mobile internet solution,9
16,BABOR HSR Lifting Decollete Mask,Panthenol,tristique in,Extended human-resource array,20
17,Loperamide Hydrochloride,loperamide hydrochloride,hac habitasse,Secured fault-tolerant extranet,13
18,Childrens Colic RELIEF,ANTIMONY TRISULFIDE - MATRICARIA RECUTITA - STRYCHNOS NUX-VOMICA SEED - LYCOPODIUM CLAVATUM SPORE - PULSATILLA VULGARIS -,quam,Right-sized encompassing model,13
19,Geotrichum candidum,Geotrichum candidum,magna ac,Up-sized impactful model,8
20,CareOne Cough DM,dextromethorphan polistirex,sit,User-centric asynchronous neural-net,1
